Subs,cancellation_date
499221,3/13/16
499232,4/18/16
499248,NULL
499253,NULL
499295,NULL
499323,NULL
499331,NULL
499344,NULL
499363,NULL
499370,NULL
499382,NULL
499393,NULL
499401,NULL
499410,NULL
499427,NULL
499439,NULL
499453,NULL
499463,NULL
499531,NULL
499545,NULL
499553,NULL
499571,NULL
499587,NULL
499693,NULL
499710,NULL
499723,NULL
499771,3/9/16
499814,NULL
499833,3/5/16
499836,4/5/16
499856,3/4/16
499870,3/7/16
499876,NULL
499902,NULL
499919,NULL
499935,NULL
499956,NULL
499985,NULL
500012,NULL
500018,NULL
500053,NULL
500091,NULL
500115,NULL
500124,NULL
500145,NULL
500161,NULL
500190,NULL
500224,NULL
500260,NULL
500261,NULL
500275,NULL
500292,NULL
500305,NULL
500320,NULL
500327,NULL
500353,NULL
500356,NULL
500422,NULL
500477,NULL
500508,NULL
500513,NULL
500520,NULL
500528,NULL
500551,NULL
500554,NULL
500560,NULL
500561,NULL
500609,NULL
500613,NULL
500622,NULL
500629,NULL
500647,3/27/16
500660,NULL
500665,NULL
500670,NULL
500681,3/5/16
500688,NULL
500692,NULL
500703,NULL
500712,3/4/16
500737,4/15/16
500762,NULL
500768,NULL
500780,NULL
500785,NULL
500787,NULL
500832,NULL
500833,NULL
500857,NULL
500862,NULL
500866,NULL
500878,NULL
500912,NULL
500928,NULL
500958,NULL
500962,NULL
501012,3/14/16
501017,NULL
501035,3/31/16
501042,NULL
501045,NULL
501075,NULL
501080,NULL
501082,NULL
501104,NULL
501149,NULL
501165,NULL
501174,NULL
501216,NULL
501226,NULL
501230,NULL
501248,NULL
501263,3/11/16
501286,NULL
501294,NULL
501301,NULL
501321,NULL
501334,NULL
501370,NULL
501384,NULL
501408,NULL
501418,NULL
501422,NULL
501466,NULL
501489,NULL
501537,NULL
501545,NULL
501559,NULL
501560,NULL
501571,NULL
501626,NULL
501633,NULL
501674,3/6/16
501685,NULL
501728,NULL
501737,NULL
501754,NULL
501760,NULL
501767,NULL
501773,NULL
501783,NULL
501793,NULL
501794,NULL
501801,NULL
501818,NULL
501832,NULL
501857,4/6/16
501889,NULL
501913,3/8/16
501937,3/8/16
501966,3/5/16
501969,NULL
501985,NULL
501998,3/9/16
501999,3/23/16
502000,3/9/16
502073,NULL
502111,NULL
502253,NULL
502256,NULL
502263,NULL
502268,NULL
502297,NULL
502354,3/26/16
502378,NULL
502379,NULL
502393,NULL
502399,NULL
502403,NULL
502430,NULL
502436,NULL
502444,NULL
502466,NULL
502525,NULL
502535,4/7/16
502553,3/14/16
502588,NULL
502637,NULL
502639,NULL
502643,NULL
502656,NULL
502669,NULL
502673,NULL
502681,NULL
502726,NULL
502751,NULL
502773,NULL
502803,NULL
502809,NULL
502840,NULL
502847,NULL
502886,NULL
502900,NULL
502908,NULL
502911,NULL
502926,NULL
502928,NULL
502936,NULL
502942,NULL
502965,NULL
502985,3/14/16
503012,NULL
503017,NULL
503040,NULL
503046,NULL
503051,NULL
503058,NULL
503067,NULL
503095,NULL
503106,NULL
503115,NULL
503130,NULL
503133,NULL
503137,NULL
503144,NULL
503152,NULL
503178,NULL
503221,NULL
503225,NULL
503232,NULL
503254,NULL
503264,NULL
503273,NULL
503279,NULL
503282,NULL
503296,NULL
503301,NULL
503303,NULL
503338,NULL
503339,NULL
503340,NULL
503357,NULL
503363,NULL
503372,NULL
503388,NULL
503396,NULL
503417,NULL
503419,NULL
503424,NULL
503426,NULL
503461,NULL
503468,NULL
503478,NULL
503482,NULL
503486,NULL
503507,NULL
503513,NULL
503516,NULL
503549,NULL
503554,NULL
503571,NULL
503572,NULL
503574,4/12/16
503586,NULL
503591,NULL
503646,NULL
503704,NULL
503715,NULL
503735,NULL
503737,NULL
503771,NULL
503797,NULL
